procedurecode,procedure name,,band_d,band_c,band_b,band_a,band_special
DRG3251,LATANOPROST EYE DROP ,"7,000.00",5132,6825.56,9760.5508,14933.64272,41067.51748
DRG3071,IRON MAGANESE COPPER (TOTHEMA),"1,400.00",263.9,350.987,501.91141,767.9244573,2111.792258
DRG3143,URSOLIV 250MG * 50,960,1248,1659.84,2373.5712,3631.563936,9986.800824
DRG2248,LIQUID PARAFFIN,"1,200.00",600,798,1141.14,1745.9442,4801.34655
MED0344,TAB CITICHOLINE 500MG,600,260.85,346.9305,496.110615,759.049241,2087.385413
DRG1623,CONTIFLO XL,150,195,259.35,370.8705,567.431865,1560.437629
DRG3132,DEXTROSE 10% IN WATER ,550,496.4,660.212,944.10316,1444.477835,3972.314046
DRG3200,DICLOFENAC 50MG SUPPOSITORIES,400,226.85,301.7105,431.446015,660.112403,1815.309108
DRG2429,CLOTRIMAZOLE VAGINAL TABLET 100MG,50,65,86.45,123.6235,189.143955,520.1458763
DRG4027,ALBENDAZOLE 100MG PER 5ML SUSP,450,150,199.5,285.285,436.48605,1200.336638
DRG3161,SALBUTAMOL NEBULES 5MG/VIAL,425,450,598.5,855.855,1309.45815,3601.009913
DRG2149,ISOSORBIDE DINITRATE 10MG ,300,65,86.45,123.6235,189.143955,520.1458763
DRG4455,ISOSORBIDE MONONITRATE 60MG TA,250,63,83.79,119.8197,183.324141,504.1413878
DRG2297,Loxagyl 400mg,18,23.4,31.122,44.50446,68.0918238,187.2525155
DRG2571,OLOPATADINE EYE DROP,"3,500.00",2743,3648.19,5216.9117,7981.874901,21950.15598
DRG1150,AMPICILLIN CLOXACILLIN 500MG INJECTION ,"3,000.00",300,399,570.57,872.9721,2400.673275
DRG2129,RANITIDINE 300MG TAB,210,60,79.8,114.114,174.59442,480.134655
DRG7800,Co-mepiry forte tab,216,127,168.91,241.5413,369.558189,1016.28502
DRG1719,DICLOFENAC EYE DROP ,800,1040,1383.2,1977.976,3026.30328,8322.33402
DRG2624,OXYTOCIN INJ 10 UNIT,130,85,113.05,161.6615,247.342095,680.1907613
DRG3193,VITAMIN E 1000IU,85,100,133,190.19,290.9907,800.224425
DRG1823,MULTIVITAMIN ,4,5.2,6.916,9.88988,15.1315164,41.6116701
DRG4661,ARTEETHER 20MG INJECTION ,667,800,1064,1521.52,2327.9256,6401.7954
DRG4860,TORSEMIDE 10MG TAB ,96,56.12,74.6396,106.734628,163.3039808,449.0859472
DRG1005,50% DEXTROSE,900,500,665,950.95,1454.9535,4001.122125
DRG1100,AMITRIPTYLINE TABS 10MG,8,10.4,13.832,19.77976,30.2630328,83.2233402
DRG3077,TRANEXAMIC ACID 500MG INJ,700,500,665,950.95,1454.9535,4001.122125
MED0447,Levofem,"6,500.00",100,133,190.19,290.9907,800.224425
DRG4185,CLINDAMYCIN 150MG CAP,130,169,224.77,321.4211,491.774283,1352.379278
DRG2101,HISTAC (RANITIDINE) 300MG TAB,210,70,93.1,133.133,203.69349,560.1570975
DRG1452,CARBAMAL-200 CR TABS X100 (SACHETS),"3,500.00",96,127.68,182.5824,279.351072,768.215448
DRG4220,Dapagliflozin 10mg x28,521,677.3,900.809,1288.15687,1970.880011,5419.92003
MED0226,ARTESUNATE INJECTION 30MG,700,600,798,1141.14,1745.9442,4801.34655
DRG3037,TENORETIC TAB,66,85.8,114.114,163.18302,249.6700206,686.5925567
MED0047,NEBIVOLOL 5MG ,150,195,259.35,370.8705,567.431865,1560.437629
DRG1407,CABERGOLINE 0.5MG TABS ,"2,500.00",1022.02,1359.2866,1943.779838,2973.983152,8178.453668
DRG2312,PARACETAMOL 125MG SYRUP ,200,260,345.8,494.494,756.57582,2080.583505
DRG4511,LINAGLIPTIN 5MG,533,224,297.92,426.0256,651.819168,1792.502712
DRG3160,SALBUTAMOL INHALER ,"3,200.00",2000,2660,3803.8,5819.814,16004.4885
DRG1845,VITAMIN B COMPLEX SYRUP` ,300,390,518.7,741.741,1134.86373,3120.875258
DRG1795,EM-B-PLEX TAB *100,600,38.4,51.072,73.03296,111.7404288,307.2861792
DRG4490,LABETALOL HCL 50MG INJECTION,"3,000.00",1215,1615.95,2310.8085,3535.537005,9722.726764
DRG1923,FENOFIBRATE 160MG satchet,107,139.1,185.003,264.55429,404.7680637,1113.112175
DRG2933,SIMVASTATINE 20MG,700,30,39.9,57.057,87.29721,240.0673275
DRG1095,AMINOPHYLLINE INJECTION 250MG/AMP,120,156,207.48,296.6964,453.945492,1248.350103
CONS021,Gp Consultation,"2,500.00","2,500.00",3325,4754.75,7274.7675,20005.61063
CONS022,Gp Review \follow up,"1,275.70","1,275.70",1696.681,2426.25383,3712.16836,10208.46299
ADM03,GENERAL ROOM,"3,859.80","3,859.80",5133.534,7340.95362,11231.65904,30887.06236
FEED03,GENERAL ROOM  FEEDING,"3,552.16","3,552.16",4724.3728,6755.853104,10336.45525,28425.25194
ADM02,SEMI PRIVATE ROOM,"6,033.81","6,033.81",8024.9673,11475.70324,17557.82596,48284.02139
ADM01,PRIVATE ROOM,"11,947.80","11,947.80",15890.574,22723.52082,34766.98685,95609.21384
FEED02,SEMI PRIVATE ROOM FEEDING PER DAY,"3,863.22","3,863.22",5138.0826,7347.458118,11241.61092,30914.43003
FEED01,PRIVATE ROOM FEEDING PER DAY,"4,119.04","4,119.04",5478.3232,7834.002176,11986.02333,32961.56416
OPT168,OPTOMETRIST CONSULTATION,"2,499.20","2,499.20",3323.936,4753.22848,7272.439574,19999.20883
CONS007,Dental Consultation,"2,983.95","2,983.95",3968.6535,5675.174505,8683.016993,23878.29673
CONS023,Gynaecology and Obstetrics Consultation,"12,070.67","12,070.67",16053.9911,22957.20727,35124.52713,96592.44961
CONS047,Paediatrician Consultation,"12,121.60","12,121.60",16121.728,23054.07104,35272.72869,97000.0039
CONS039,Opthalmologist Consultion,"4,275.59","4,275.59",5686.5347,8131.744621,12441.56927,34214.31549
CONS003,Cardiologist Consultation,"15,107.52","15,107.52",20093.0016,28732.99229,43961.4782,120894.0651
CONS043,Orthopaedic Consultation,"15,647.49","15,647.49",20811.1617,29759.96123,45532.74068,125215.0369
INP0003,Professional Fee,"12,510.52","12,510.52",16638.9916,23793.75799,36404.44972,100112.2367
CONS027,Internal Medicine Physician Consultation,"9,733.11","9,733.11",12945.0363,18511.40191,28322.44492,77886.72353
CONS024,Gynaecology and Obstetrics Follow Up,"7,418.93","7,418.93",9867.1769,14110.06297,21588.39634,59368.08994
CONS015,Ent Specialist Consultation,"12,857.91","12,857.91",17101.0203,24454.45903,37415.32231,102892.1364
CONS019,General Surgeon Consultation,"15,687.96","15,687.96",20864.9868,29836.93112,45650.50462,125538.8877
CONS004,Cardiologist Follow Up,"10,147.31","10,147.31",13495.9223,19299.16889,29527.7284,81201.2531
CONS009,Dermatology Consultation,"15,642.43","15,642.43",20804.4319,29750.33762,45518.01655,125174.5455
CONS051,Physiotherapist Consultation,"7,460.46","7,460.46",9922.4118,14189.04887,21709.24478,59700.42315
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,"10,871.27","10,871.27",14458.7891,20676.06841,31634.38467,86994.55784
CONS069,Specialist Initial Consultation,"10,652.65","10,652.65",14168.0245,20260.27504,30998.2208,85245.1072
CONS044,Orthopaedic Follow Up,"8,645.15","8,645.15",11498.0495,16442.21079,25156.5825,69180.60188
CONS048,Paediatrician Follow Up,"8,447.42","8,447.42",11235.0686,16066.1481,24581.20659,67598.31812
CONS063,Urologist Consultation,"22,328.10","22,328.10",29696.373,42465.81339,64972.69449,178674.9098
CONS052,Physiotherapist Review,"5,730.18","5,730.18",7621.1394,10898.22934,16674.29089,45854.29995
CONS028,Internal Medicine Physician Review,"6,065.10","6,065.10",8066.583,11535.21369,17648.87695,48534.41161
CONS035,Neurologist Consultation,"26,025.11","26,025.11",34613.3963,49497.15671,75730.64976,208259.2868
CONS070,Specialist  Review Consultations,"11,614.88","11,614.88",15447.7904,22090.34027,33798.22062,92945.10671
CONS013,Endocrinology Consultation,"21,500.68","21,500.68",28595.9044,40892.14329,62564.97924,172053.6929
DENT47,Dental Orthodontic Consultation,"3,000.00","3,000.00",3990,5705.7,8729.721,24006.73275
OPT170,OPTOMETRIST FOLLOW UP/ REVIEW,"1,957.04","1,957.04",2602.8632,3722.094376,5694.804395,15660.71209
CONS020,General Surgeon Follow Up,"8,162.86","8,162.86",10856.6038,15524.94343,23753.16345,65321.19949
CONS010,Dermatology Follow Up,"9,136.05","9,136.05",12150.9465,17375.8535,26585.05585,73108.90359
DIAG019,Physicals,"1,792.60","1,792.60",2384.158,3409.34594,5216.299288,14344.82304
CONS064,Urologist Review,"15,518.09","15,518.09",20639.0597,29513.85537,45156.19872,124179.5465
CONS017,Gastroenterology Consultation,"19,004.19","19,004.19",25275.5727,36144.06896,55300.42551,152076.1702
CONS016,Ent Specialst Follow Up,"9,489.16","9,489.16",12620.5828,18047.4334,27612.57311,75934.57605
NICU,NICU,"27,292.68","27,292.68",36299.2644,51907.94809,79419.16058,218402.6916
CONS036,Neurologist Follow Up,"13,442.14","13,442.14",17878.0462,25565.60607,39115.37728,107567.2875
CONS040,Opthalmologist Review,"3,478.13","3,478.13",4625.9129,6615.055447,10121.03483,27832.84578
CONS045,Paediatric Surgeon Consultation,"20,426.85","20,426.85",27167.7105,38849.82602,59440.2338,163460.643
CONS011,Dietician Consultation,"6,396.55","6,396.55",8507.4115,12165.59845,18613.36562,51186.75546
CONS014,Endocrinology Follow Up,"13,600.91","13,600.91",18089.2103,25867.57073,39577.38322,108837.8039
CONS008,Dental Follow Up,"2,200.87","2,200.87",2927.1571,4185.834653,6404.327019,17611.8993
CONS033,Nephrology Consultation,"35,022.00","35,022.00",46579.26,66608.3418,101910.763,280254.5983
AMB01,Ambulance,"54,583.33","54,583.33",72595.8289,103812.0353,158832.4141,436789.1388
CONS089,FAMILY MEDICINE PHYSICIAN REVIEW,"8,203.13","8,203.13",10910.1629,15601.53295,23870.34541,65643.44988
CONS018,Gastroenterology Follow Up,"14,144.23","14,144.23",18811.8259,26900.91104,41158.39389,113185.5832
PCD903,Incubator Care,"17,833.33","17,833.33",23718.3289,33917.21033,51893.3318,142706.6625
ADM0006,Accommodation - Four Bedded room,"3,950.00","3,950.00",5253.5,7512.505,11494.13265,31608.86479
CONS025,Haematologist Consultation,"24,148.15","24,148.15",32117.0395,45927.36649,70268.87072,193239.3945
CON3948,Consultant Physician,"11,033.33","11,033.33",14674.3289,20984.29033,32105.9642,88291.40155
CONS056,Psychiatrist Review,"9,850.00","9,850.00",13100.5,18733.715,28662.58395,78822.10586
CONS062,Rheumatology Follow Up,"18,001.82","18,001.82",23942.4206,34237.66146,52383.62203,144054.9606
CONS034,Nephrology Follow Up,"12,075.28","12,075.28",16060.1224,22965.97503,35137.9418,96629.33995
CONS055,Psychiatrist Consultation,"15,058.55","15,058.55",20027.8715,28639.85625,43818.98005,120502.1951
CONS068,"Rare Specialist Consultation (Neurosurgeon, Neurologist)","20,463.64","20,463.64",27216.6412,38919.79692,59547.28928,163755.0455
CONS071,Subsequent Specialist Reviews,"11,913.64","11,913.64",15845.1412,22658.55192,34667.58443,95335.85718
Con2908,Family Medicine Physician followup,"6,800.00","6,800.00",9044,12932.92,19787.3676,54415.2609
ADM0008,Admission pack,"10,000.00","10,000.00",13300,19019,29099.07,80022.4425
CONS037,Neurosurgeon Consultation,"38,521.25","38,521.25",51233.2625,73263.56538,112093.255,308256.4513
DRG4696,PHYSIOGEL,"2,016.75","2,016.75",2682.2775,3835.656825,5868.554942,16138.52609
CONS059,Respiratory Physician / Pulmonologist Consultation,"31,535.00","31,535.00",41941.55,59976.4165,91763.91725,252350.7724
CONS061,Rheumatology Consultation,"25,022.50","25,022.50",33279.925,47590.29275,72813.14791,200236.1568
DIAG162,Nephrologist Consultation (First Session),"24,693.92","24,693.92",32842.9136,46965.36645,71857.01067,197606.7793
CONS053,Plastic Surgeon Consultation,"35,000.00","35,000.00",46550,66566.5,101846.745,280078.5488
CONS006,Cardiothoracic Surgeon Consultation,"28,300.00","28,300.00",37639,53823.77,82350.3681,226463.5123
CONS026,Haematologist Follow Up,"18,666.67","18,666.67",24826.6711,35502.13967,54318.2737,149375.2527
CLI0148,Physical Examination,"2,000.00","2,000.00",2660,3803.8,5819.814,16004.4885
INP0005,Professional Fee,"9,353.30","9,353.30",12439.889,17789.04127,27217.23314,74847.39114
CON123,PULMUNOLOGIST,"44,500.00","44,500.00",59185,84634.55,129490.8615,356099.8691
DIAG170,RESUSCITATION / EMERGENCY CARE,"4,879.25","4,879.25",6489.4025,9279.845575,14198.16373,39044.95026
OUT0005,care coordination refund,"313,200.00","313,200.00",416556,595675.08,911382.8724,2506302.899
CONS031,Neonatologist Consultation,"10,062.50","10,062.50",13383.125,19137.86875,29280.93919,80522.58277
CONS041,Orthodontist Consultation,"21,250.00","21,250.00",28262.5,40415.375,61835.52375,170047.6903
CONS012,Dietician Follow Up,"3,500.00","3,500.00",4655,6656.65,10184.6745,28007.85488
CONS083,EMERGENCY CONSULTATION,"7,666.67","7,666.67",10196.6711,14581.23967,22309.2967,61350.56593
CONS042,Orthodontist Follow Up,"5,833.33","5,833.33",7758.3289,11094.41033,16974.4478,46679.73145
ICU,ICU CARE/DAY,"557,950.00","557,950.00",742073.5,1061165.105,1623582.611,4464852.18
CONS038,Neurosurgeon Follow Up,"25,000.00","25,000.00",33250,47547.5,72747.675,200056.1063
CONS075,ONCOLOGY(1STVISIT),"33,750.00","33,750.00",44887.5,64189.125,98209.36125,270075.7434
CONS046,Paediatric Surgeon Review,"11,100.00","11,100.00",14763,21111.09,32299.9677,88824.91118
ADM0007,Accommodation and Nursing- Daycase,"1,500.00","1,500.00",1995,2852.85,4364.8605,12003.36638
ADM00004,admission and investigations,"4,500.00","4,500.00",5985,8558.55,13094.5815,36010.09913
CONS001,Anaesthesiologist Consultation,"7,500.00","7,500.00",9975,14264.25,21824.3025,60016.83188
CONS002,Anaesthesiologist Review,"4,000.00","4,000.00",5320,7607.6,11639.628,32008.977
CONS005,Cardiothoracic Surgeon  Follow Up,"45,000.00","45,000.00",59850,85585.5,130945.815,360100.9913
CONS030,Maxilloficial Surgeon Consultation,"50,000.00","50,000.00",66500,95095,145495.35,400112.2125
ADM0003,Nursery Room/Accommodation,"20,000.00","20,000.00",26600,38038,58198.14,160044.885
CONS077,PAEDIATIC and DEVELOPMENTAL NEUROLOGY(FOLLOWUP),"15,000.00","15,000.00",19950,28528.5,43648.605,120033.6638
CONS078,PAEDIATRIC and DEVELOPMENTAL NEUROLOGY(1STVISIT),"50,000.00","50,000.00",66500,95095,145495.35,400112.2125
CONS054,Plastic Surgeon Review,"25,000.00","25,000.00",33250,47547.5,72747.675,200056.1063
CONS060,Respiratory Physician / Pulmonologist Follow Up,"12,960.00","12,960.00",17236.8,24648.624,37712.39472,103709.0855
DIAG435,MALARIAL PARASITE THICK  AND THIN FILMS -  [BLOOD],"1,600.00","1,600.00",2128,3043.04,4655.8512,12803.5908
DIAG422,FBC/ CBC (FULL BLOOD COUNT) [BLOOD],"3,000.00","3,000.00",3990,5705.7,8729.721,24006.73275
DIAG247,FASTING BLOOD SUGAR -[PLASMA],"1,018.71",700,931,1331.33,2036.9349,5601.570975
DIAG380,URINALYSIS,"1,057.74",734,976.22,1395.9946,2135.871738,5873.64728
DIAG450,"WBC (LEUCOCYTE) : TOTAL AND ABSOLUTE DIFFERENTIAL COUNTS,  -  [BLOOD]","1,531.72",910,1210.3,1730.729,2648.01537,7282.042268
DIAG441,PCV -PACKED CELL VOLUME (HAEMATOCRIT) -  [BLOOD],915.79,840,1117.2,1597.596,2444.32188,6721.88517
DIAG763,URINE M/C/S,"2,949.80","1,500.00",1995,2852.85,4364.8605,12003.36638
OPT123,REFRACTION,"1,999.90","1,999.90",2659.867,3803.60981,5819.523009,16003.68827
DIAG1688,PREGNANCY TEST -  [SERUM],"1,367.65","1,028.00",1367.24,1955.1532,2991.384396,8226.307089
OPT144,TONOMETRY,"1,484.53","1,484.53",1974.4249,2823.427607,4319.844239,11879.57166
DIAG753,STOOL M/C/S,"3,744.15","3,000.00",3990,5705.7,8729.721,24006.73275
DIAG1678,HELICOBACTER PYLORI (RAPID TEST) -  [SERUM],"5,088.71","4,406.00",5859.98,8379.7714,12821.05024,35257.88816
DIAG307,EUCR,"5,871.92","4,200.00",5586,7987.98,12221.6094,33609.42585
DIAG275,"LIPID PROFILE = TOTAL CHOLESTEROL, HDL,LDL,VLDL, TRIGLYCERIDES","6,111.64","3,635.50",4835.215,6914.35745,10578.9669,29092.15898
DIAG723,HIGH VAGINAL SWAB (HVS) M/C/S,"4,187.26","3,966.00",5274.78,7542.9354,11540.69116,31736.90069
DIAG1845,ABDOMINOPELVICS,"6,190.23","4,970.00",6610.1,9452.443,14462.23779,39771.15392
DIAG010,ECG (RESTING) ELECTROCARDIOGRAPHY,"6,510.86","8,000.00",10640,15215.2,23279.256,64017.954
DIAG1970,XRAY CHEST AP/LAT,"5,120.35","3,947.40",5250.042,7507.56006,11486.56689,31588.05895
Pro0001,PELVIC SCAN,"4,133.86","5,530.00",7354.9,10517.507,16091.78571,44252.4107
DIAG421,ESR (AUTOMATED)   -  [BLOOD],"1,990.89",840,1117.2,1597.596,2444.32188,6721.88517
DIAG1682,HIV 1 AND 2 SCREENING (SERUM),"1,990.04","6,790.00",9030.7,12913.901,19758.26853,54335.23846
DIAG215,RANDOM BLOOD SUGAR,"1,148.17","1,260.00",1675.8,2396.394,3666.48282,10082.82776
PCD280,ANTENATAL CARE PACKAGE- ROUTINE INV AND 8 VISITS ,"45,329.70","30,000.00",39900,57057,87297.21,240067.3275
DIAG1843,SONO ABDOMEN SCAN,"6,020.66","4,970.00",6610.1,9452.443,14462.23779,39771.15392
PCD4311,SLIT LAMP,"1,529.89","4,200.00",5586,7987.98,12221.6094,33609.42585
OPT02,OPTICAL CONSULTATION,"2,437.31","2,437.31",3241.6223,4635.519889,7092.34543,19503.94993
DIAG1846,SONO ABDOMINOPELVICS,"6,437.75","4,970.00",6610.1,9452.443,14462.23779,39771.15392
Pro0010,INDIRECT OPTHALMOSCOPY,"2,482.86","2,800.00",3724,5325.32,8147.7396,22406.2839
DIAG259,HBA1C- GLYCATED HAEMOGLOBIN -  [BLOOD],"7,604.11","4,500.00",5985,8558.55,13094.5815,36010.09913
DIAG278,LIVER FUNCTION TESTS,"6,938.61","6,000.00",7980,11411.4,17459.442,48013.4655
OPT35,DILATED FUNDOSCOPY,"1,375.44","1,375.44",1829.3352,2615.949336,4002.402484,11006.60683
DIAG1675,"HBSAG, SCREENING -  [SERUM]","4,920.48","4,200.00",5586,7987.98,12221.6094,33609.42585
DIAG750,SPUTUM M/C/S,"3,611.11","2,020.00",2686.6,3841.838,5878.01214,16164.53339
OPH0010,FUNDUSCOPY,"3,087.05","3,087.05",4105.7765,5871.260395,8983.028404,24703.32811
DIAG722,HELICOBACTER PYLORI -[STOOL],"5,120.08","4,130.00",5492.9,7854.847,12017.91591,33049.26875
DIAG2052,XRAY LUMBOSACRAL AP/LAT,"6,436.06","3,947.40",5250.042,7507.56006,11486.56689,31588.05895
DIAG236,CREATININE -  [SERUM],"2,182.85",900,1197,1711.71,2618.9163,7202.019825
OPT162,VISUAL ACUITY,980.64,980.64,1304.2512,1865.079216,2853.5712,7847.3208
DIAG773,GENOTYPE SCREENING,"1,981.87","1,500.00",1995,2852.85,4364.8605,12003.36638
DIAG1977,XRAY CHEST PA VIEW,"4,201.34","3,000.00",3990,5705.7,8729.721,24006.73275
DIAG1655,ABO BLOOD GROUPING AND RHESUS TYPING/ BLOOD GROUP   -  [EDTA -BLOOD],"1,943.03",800,1064,1521.52,2327.9256,6401.7954
DIAG595,"PSA -PROSTATE SPECIFIC ANTIGEN, TOTAL -  [SERUM]","9,993.50","10,000.00",13300,19019,29099.07,80022.4425
DIAG246,"ELECTROLYTES = SODIUM, POTASSIUM, CHLORIDE [SERUM]","4,137.22","2,520.00",3351.6,4792.788,7332.96564,20165.65551
DIAG760,THROAT SWAB FOR  M/C/S,"4,213.04","4,000.00",5320,7607.6,11639.628,32008.977
DIAG323,UREA -  [SERUM],"1,771.99",840,1117.2,1597.596,2444.32188,6721.88517
DIAG329,URIC ACID -  [SERUM],"2,319.59",980,1303.4,1863.862,2851.70886,7842.199365
DIAG1660,ANTI HCV- SCREENING -[SERUM],"3,492.43","6,790.00",9030.7,12913.901,19758.26853,54335.23846
DIAG1849,SONO BREAST SCAN,"8,479.74","5,530.00",7354.9,10517.507,16091.78571,44252.4107
DIAG517,PAP SMEARS PROCEDURE -  [PAP SMEAR],"11,887.31","8,000.00",10640,15215.2,23279.256,64017.954
DIAG1707,VDRL (RPR) -  [SERUM],"1,934.30","1,469.00",1953.77,2793.8911,4274.653383,11755.2968
DIAG762,URETHRAL SWAB M/C/S,"2,752.23","1,500.00",1995,2852.85,4364.8605,12003.36638
DIAG598,THYROID FUNCTION TEST(T3  T4  TSH)- [SERUM],"11,516.82","11,516.82",15317.3706,21903.83996,33512.87514,92160.40664
DIAG1714,MAMMOGRAPHY,"17,278.90","20,000.00",26600,38038,58198.14,160044.885
DIAG221,CALCIUM -  [SERUM],"1,737.44","2,000.00",2660,3803.8,5819.814,16004.4885
OPT118,Pachymetry (each eye),"5,553.69","5,553.69",7386.4077,10562.56301,16160.72141,44441.98388
DIAG686,BLOOD CULTURE (AEROBIC AND ANAEROBIC),"5,080.02","2,800.00",3724,5325.32,8147.7396,22406.2839
DIAG1661,ANTI HCV -TOTAL ANTIBODIES TO HEPATITIS C VIRUS  -  [SERUM],"4,978.16","6,500.00",8645,12362.35,18914.3955,52014.58763
DIAG211,BILIRUBIN (TOTAL) -  [SERUM],"3,265.23","1,000.00",1330,1901.9,2909.907,8002.24425
DIAG009,ECG (POST EXERCISE/STRESS TEST) OR 24 HOURS,"6,802.79","7,000.00",9310,13313.3,20369.349,56015.70975
DIAG764,URINE MICROSCOPY (FOR  PARASITES),"1,336.54",735,977.55,1397.8965,2138.781645,5881.649524
DIAG228,CHOLESTEROL (TOTAL) -  [SERUM],"1,806.64","1,200.00",1596,2282.28,3491.8884,9602.6931
DIAG1865,SONO OBSTETRICS/PREG(1 TO 3 MONTHS),"3,891.85","4,970.00",6610.1,9452.443,14462.23779,39771.15392
DIAG1708,WIDAL TEST -  [SERUM],"1,618.54","1,469.00",1953.77,2793.8911,4274.653383,11755.2968
DIAG706,"CULTURE, HELICOBACTER PYLORI - [ANY SAMPLE]","4,706.89","4,130.00",5492.9,7854.847,12017.91591,33049.26875
DENT140,Glucose - Blood (Automated) FBS or RBS,"1,573.48","1,573.48",2092.7284,2992.601612,4578.680466,12591.37128
DIAG212,"BILIRUBIN (TOTAL, DIRECT, INDIRECT) -  [SERUM]","2,319.58","1,322.00",1758.26,2514.3118,3846.897054,10578.9669
DIAG013,ECHOCARDIOGRAPHY,"32,754.03","25,000.00",33250,47547.5,72747.675,200056.1063
DIAG1879,SONO TRANSVAGINAL,"7,751.00","5,530.00",7354.9,10517.507,16091.78571,44252.4107
DIAG209,BILIRUBIN (DIRECT) -  [SERUM],"2,169.76",808,1074.64,1536.7352,2351.204856,6465.813354
DIAG241,CRP- C-REACTIVE PROTEIN -  [SERUM],"7,301.82","4,488.58",5969.8114,8536.830302,13061.35036,35918.71349
DIAG1961,XRAY CERVICAL SPINE AP/LAT,"6,651.81","3,947.40",5250.042,7507.56006,11486.56689,31588.05895
DIAG425,HAEMOGLOBIN -  [BLOOD],808.56,840,1117.2,1597.596,2444.32188,6721.88517
DIAG767,WOUND SWAB M/C/S,"4,375.54","4,000.00",5320,7607.6,11639.628,32008.977
DIAG2028,XRAY LEFT KNEE  AP/LAT,"6,357.18","3,933.70",5231.821,7481.50403,11446.70117,31478.42822
Den213,PERIAPICAL X-RAY,"4,399.51","4,399.51",5851.3483,8367.428069,12802.16495,35205.95361
DIAG593,PROLACTIN -  [SERUM],"5,973.68","6,580.00",8751.4,12514.502,19147.18806,52654.76717
DIAG1866,SONO OBSTETRICS/PREG(4 TO 9 MONTHS),"4,493.38","4,970.00",6610.1,9452.443,14462.23779,39771.15392
DIAG2102,XRAY RIGHT KNEE  AP/LAT,"5,861.50","4,000.00",5320,7607.6,11639.628,32008.977
PCD4249,PERI-APICAL/ BITEWING X-RAY,"3,418.60","3,000.00",3990,5705.7,8729.721,24006.73275
DIAG592,PROGESTERONE (P4) -  [SERUM],"5,933.86","6,580.00",8751.4,12514.502,19147.18806,52654.76717
DIAG1947,XRAY BOTH KNEE AP/LAT STANDING,"9,105.24","6,609.00",8789.97,12569.6571,19231.57536,52886.83224
DIAG2046,XRAY LUMBAR SPINE AP/LAT,"5,797.33","3,672.00",4883.76,6983.7768,10685.1785,29384.24088
DIAG558,E2 - ESTRADIOL -  [SERUM],"5,447.39","6,580.00",8751.4,12514.502,19147.18806,52654.76717
DIAG710,EAR SWAB M/C/S,"4,123.35","3,032.50",4033.225,5767.51175,8824.292978,24266.80569
DIAG746,"SEMEN, ROUTINE EXAMINATION/ SEMINAL FLUID ANALYSIS - [SEMEN]","4,214.35","2,313.15",3076.4895,4399.379985,6731.051377,18510.39129
DIAG035,CT BRAIN,"44,582.21","42,000.00",55860,79879.8,122216.094,336094.2585
BIO0001,HORMONAL PROFILE,"22,395.98","22,395.98",29786.6534,42594.91436,65170.21897,179218.1022
DIAG728,MICROFILARIA DETECTION -  [BLOOD],"1,947.02","1,000.00",1330,1901.9,2909.907,8002.24425
DIAG1864,SONO OBSTETRICS WITH BIOPHYSICAL PROFILE,"6,179.45","4,970.00",6610.1,9452.443,14462.23779,39771.15392
DIAG1867,SONO OBSTRICS 4D SCAN,"6,197.43","4,970.00",6610.1,9452.443,14462.23779,39771.15392
DIAG1517,PSA -PROSTATE SPECIFIC ANTIGEN -  [TISSUE],"9,093.49","8,000.00",10640,15215.2,23279.256,64017.954
DIAG1871,SONO PROSTRATE / TRUS,"8,376.29","5,530.00",7354.9,10517.507,16091.78571,44252.4107
DIAG1875,SONO TESTES /  SONO SROTUM / SCROTAL DOPPLER,"8,370.25","7,000.00",9310,13313.3,20369.349,56015.70975
DIAG2112,XRAY RIGHT SHOULDER JOINT AP/LAT,"5,405.01","4,000.00",5320,7607.6,11639.628,32008.977
DIAG733,OCCULT BLOOD -  [STOOL],"1,833.19",910,1210.3,1730.729,2648.01537,7282.042268
PCD795,EAR SYRINGING -UNILATERAL,"6,067.08","10,000.00",13300,19019,29099.07,80022.4425
DIAG1969,XRAY CHEST AP SUPINE VIEW,"5,000.82","2,520.00",3351.6,4792.788,7332.96564,20165.65551
Pro0004,BREAST SCAN,"8,278.15","6,500.00",8645,12362.35,18914.3955,52014.58763
BIO0016,BLOOD GROUP AND ANTIBODY,"2,534.02","1,000.00",1330,1901.9,2909.907,8002.24425
DIAG745,SEMEN M/C/S,"4,622.09","3,686.40",4902.912,7011.16416,10727.08116,29499.47319
DIAG568,FSH-LH-PROLACTIN -  [SERUM],"15,198.42","10,160.00",13512.8,19323.304,29564.65512,81302.80158
OPT171,GONIOSCOPY,"2,619.05","2,619.05",3483.3365,4981.171195,7621.191928,20958.2778
DIAG534,ANTI HBSAG -TOTAL ANTIBODIES TO HEPATITIS B SURFACE ANTIGEN (QUANTITATIVE),"3,396.98","4,200.00",5586,7987.98,12221.6094,33609.42585
DIAG1680,HEPATITIS B VIRUS SURFACE ANTIGEN SPOT TEST  [QUALITATIVE - SERUM],"1,577.21","4,200.00",5586,7987.98,12221.6094,33609.42585
DIAG711,ENDOCERVICAL SWAB M/C/S,"4,131.65","2,737.08",3640.3164,5205.652452,7964.648252,21902.78269
OPT 25001,INTRA OCULAR PRESSURE TEST,"1,110.77","1,110.77",1477.3241,2112.573463,3232.237398,8888.652845
