NAME OF PROVIDERS
HEILUNG KREUZ HOSPITAL
MEC HEALTH FAMILY HOSPITAL
GODFREY SPECIALIST HOSPITAL (Band C)
SUBOL HOSPITAL
BANKE HOSPITAL
JERICHO HOSPITAL
JERICHO  HOSPITAL (OTA)
ZENITH MEDICAL & KIDNEY CENTRE
WATERFALLS HOSPITAL AND MATERNITY (OKOTA)
IRE-ANU HOSPITAL
TRIUMPH MEDICAL CENTRE
ADEMOLA HOSPITAL
IBIJOLA HOSPITAL
MAY CLINICS
MOTHER AND CHILD HOSPITAL (OMOLE)
HETTA MEDICAL CENTRE
ABLE GOD HOSP AND MAT HOME LTD
TENDER TOUCH HOSPITAL
CAREPOINT CLINIC EGBEDA
PRIMECARE HOSPITAL CHEVRON LEKKI
HEALING TOUCH HOSPITAL (A)
DIALYZER SEPCIALIST MEDICAL CENTER
FUNBI MEDICAL CENTRE
MANNYCH EYE CLINIC
FAITH CITY HOSPITAL ISOLO
DAKO MEDICAL CENTRE LTD
COTTAGE MEDICARE HOSP
BRICKFIELD MEDICAL CENTRE
PANOX HOSPITAL
AVICENA HOSP
PROMISE MEDICAL CENTRE
CENTRAL SPECIALIST HOSPITAL (OTA)
AL SADIQ HOSPITAL
EVANSON MEDICAL CENTRE
GRACE FOUNTAIN MEDICAL CENTRE
ICON CLINIC AND MATERNITY
SINCLAIR HOSPITAL
