,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
DRG2643,PARACETAMOL  250MG SYRUP,500,665,944.3,1463.665,2927.33
DRG1250,AMOXICILLIN CLAVULANIC ACID 1G TAB,200,266,377.72,585.466,1170.932
DRG4282,ERYTHROMYCIN 250MG TAB,80,106.4,151.088,234.1864,468.3728
DRG4623,NIFEDIPINE 30MG TAB,80,106.4,151.088,234.1864,468.3728
DRG2024,GLIMEPIRIDE 4MG,200,266,377.72,585.466,1170.932
DRG2311,PREGABALIN 75MG CAPS,150,199.5,283.29,439.0995,878.199
DRG2447,VITAMIN C 1000MG,250,332.5,472.15,731.8325,1463.665
DRG2896,SALBUTAMOL TAB 4MG,30,39.9,56.658,87.8199,175.6398
DRG2939,TIZANIDINE 2MG,80,106.4,151.088,234.1864,468.3728
DRG2508,NITROFURANTOIN 100MG TAB,80,106.4,151.088,234.1864,468.3728
DRG1480,CEFUROXIME 250MG TAB,150,199.5,283.29,439.0995,878.199
DRG1278,AZITHROMYCIN 500MG CAP,300,399,566.58,878.199,1756.398
DRG4906,VALSARTAN 160MG,380,505.4,717.668,1112.3854,2224.7708
DRG4287,ESOMEPRAZOLE 20MG CAPS,120,159.6,226.632,351.2796,702.5592
DRG1730,FLUCONAZOLE 50MG,180,239.4,339.948,526.9194,1053.8388
DRG2283,LOSARTAN 25MG TAB,80,106.4,151.088,234.1864,468.3728
DRG1078,GLIMEPIRIDE 2MG TAB,200,266,377.72,585.466,1170.932
DRG1243,ATENOLOL 50MG TAB,80,106.4,151.088,234.1864,468.3728
DRG2789,QUININE INJ. 600MG,600,798,1133.16,1756.398,3512.796
DRG1004,5% DEXTROSE INFUSION,800,1064,1510.88,2341.864,4683.728
DRG1365,BISOPROLOL 2.5MG,73,97.09,137.8678,213.69509,427.39018
DRG1366,BISOPROLOL 5MG,100,133,188.86,292.733,585.466
DRG1910,SULFADOXINE AND PYRIMETHAMINE,120,159.6,226.632,351.2796,702.5592
DRG2166,AMOXICILLIN 125MG/5ML SUSPENSION,1200,1596,2266.32,3512.796,7025.592
DRG4925,VIDAGLIPTIN/METFORMIN 50/1000MG TAB,244.45,325.1185,461.66827,715.5858185,1431.171637
DRG1422,CALCIUM LACTATE 300MG TAB,30,39.9,56.658,87.8199,175.6398
DRG4518,LOPERAMIDE HYDROCHLORIDE 4MG,70,93.1,132.202,204.9131,409.8262
DRG2372,TELMISARTAN 40MG,200,266,377.72,585.466,1170.932
DRG1391,BROMAZEPAM 3MG,70,93.1,132.202,204.9131,409.8262
DRG1444,CLOTRIMAZOLE PESSARY,750,997.5,1416.45,2195.4975,4390.995
DRG2522,NORMAL SALINE,1000,1330,1888.6,2927.33,5854.66
DRG1526,CHLOPHENAMINE 2MG SYRUP,500,665,944.3,1463.665,2927.33
DRG2940,TIZANIDINE 4MG,200,266,377.72,585.466,1170.932
DRG1829,ORAL REHYDRATION SALTS,200,266,377.72,585.466,1170.932
DRG1098,AMITRIPTYLINE 25MG,50,66.5,94.43,146.3665,292.733
DRG3282,ALBENDAZOLE 400MG TAB,250,332.5,472.15,731.8325,1463.665
DRG1720,DICLOFENAC GEL,850,1130.5,1605.31,2488.2305,4976.461
DRG4907,VALSARTAN 80MG,300,399,566.58,878.199,1756.398
DRG2751,PROGUANIL 100MG TAB,32.5,43.225,61.3795,95.138225,190.27645
DRG3184,VITAMIN B-CO INJECTION,200,266,377.72,585.466,1170.932
DRG1547,CIPROFLOXACIN 200MG INFUSION,800,1064,1510.88,2341.864,4683.728
DRG1009,DICLOFENAC 100MG TAB,60,79.8,113.316,175.6398,351.2796
DRG1127,AMOXICILLIN CLAVULANIC ACID 375MG TABLET,250,332.5,472.15,731.8325,1463.665
DRG4414,IBUPROFEN 100MG 5ML SUSP,700,931,1322.02,2049.131,4098.262
DRG2189,KETOCONAZOLE 200MG TAB,170,226.1,321.062,497.6461,995.2922
DRG1542,CIMETIDINE TAB 400MG,80,106.4,151.088,234.1864,468.3728
DRG2707,ATENOLOL 100MG,70,93.1,132.202,204.9131,409.8262
DRG2795,RAMIPRIL 5MG,140,186.2,264.404,409.8262,819.6524
DRG2580,OMEPRAZOLE 20MG INJECTION,800,1064,1510.88,2341.864,4683.728
DRG1198,ARTESUNATE 120MG INJ.,1800,2394,3399.48,5269.194,10538.388
DRG1645,ROSUVASTATIN 20MG,200,266,377.72,585.466,1170.932
DRG2753,PROMETHAZINE INJ 25MG,65,86.45,122.759,190.27645,380.5529
DRG3019,TAMSULOSIN HYDROCHLORIDE 0.4MG CAP,160,212.8,302.176,468.3728,936.7456
DRG3078,TRANEXAMIC ACID 500MG TAB,250,332.5,472.15,731.8325,1463.665
DRG1032,PSEUDOEPHEDRINE HYDROCHLORIDE 60MG/ TRIPROLIDINE HYDROCHLORIDE 2.5MG,115,152.95,217.189,336.64295,673.2859
DRG1003,4.3 DEXTROSE 4NORMAL SALINE 0.18,800,1064,1510.88,2341.864,4683.728
DRG1776,ARTEETHER 150MG INJECTION,1500,1995,2832.9,4390.995,8781.99
DRG2330,METOCHLOPRAMIDE 10MG TAB,50,66.5,94.43,146.3665,292.733
DRG3159,SALBUTAMOL 2MG TAB,20,26.6,37.772,58.5466,117.0932
DRG2552,CEFIXIME 200MG,250,332.5,472.15,731.8325,1463.665
DRG2708,PROPANOLOL 40MG,80,106.4,151.088,234.1864,468.3728
DRG2202,LABETALOL 200MG,250,332.5,472.15,731.8325,1463.665
DRG1716,LOPERAMIDE HYDROCHLORIDE 2MG,90,119.7,169.974,263.4597,526.9194
DRG2289,LOSARTAN 100MG,80,106.4,151.088,234.1864,468.3728
DRG1146,AMPICILLIN CAPS 500MG,80,106.4,151.088,234.1864,468.3728
DRG1644,ROSUVASTATIN 10MG,180,239.4,339.948,526.9194,1053.8388
DRG1664,DAFLON 500MG,138.67,184.4311,261.892162,405.9328511,811.8657022
DRG1390,BROMAZEPAM 1.5MG,90,119.7,169.974,263.4597,526.9194
DRG2277,LORATIDINE SYRUP,750,997.5,1416.45,2195.4975,4390.995
DRG1062,SPIRONOLACTONE 25MG,80,106.4,151.088,234.1864,468.3728
DRG1958,FLUCONAZOLE 200MG,250,332.5,472.15,731.8325,1463.665
DRG1821,MULTIVITE TAB,20,26.6,37.772,58.5466,117.0932
DRG2519,ORPHENADRINE + PARACETAMOL,100,133,188.86,292.733,585.466
DRG1818,VITAMIN C 100MG/5MLS SYRUP,800,1064,1510.88,2341.864,4683.728
DRG1988,FUROSEMIDE 40MG,70,93.1,132.202,204.9131,409.8262
DRG1093,AMILORIDE 5MG TAB,50,66.5,94.43,146.3665,292.733
DRG1962,FLUCONAZOLE 150mg,200,266,377.72,585.466,1170.932
DRG1773,DYDROGESTRONE 10MG,200,266,377.72,585.466,1170.932
DRG1540,CIMETIDINE 200 mg,100,133,188.86,292.733,585.466
DRG1703,4.3 DEXTROSE SALINE,800,1064,1510.88,2341.864,4683.728
DRG2369,METRONIDAZOLE 200MG/5MLS SYRUP,800,1064,1510.88,2341.864,4683.728
DRG2334,IVERMECTIN 3MG TAB,100,133,188.86,292.733,585.466
DRG4064,AMLODIPINE VALSARTAN 10/160MG TAB,400,532,755.44,1170.932,2341.864
DRG2849,TRAMADOL 50MG,100,133,188.86,292.733,585.466
DRG2252,LISINOPRIL 20MG,90,119.7,169.974,263.4597,526.9194
DRG1020,RABEPRAZOLE 20MG,93.68,124.5944,176.924048,274.2322744,548.4645488
DRG1918,PIROXICAM 20MG,50,66.5,94.43,146.3665,292.733
DRG2433,NAPROXEN 500MG,100,133,188.86,292.733,585.466
DRG2484,NEUROVITE,100,133,188.86,292.733,585.466
DRG1443,CLOTRIMAZOLE CREAM 100MG,1000,1330,1888.6,2927.33,5854.66
