,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
CONS021,Gp Consultation,3000,3990,5665.8,8781.99,17563.98
CONS022,Gp Review \follow up,1500,1995,2832.9,4390.995,8781.99
ADM03,GENERAL ROOM,4000,5320,7554.4,11709.32,23418.64
FEED03,GENERAL ROOM  FEEDING,5000,6650,9443,14636.65,29273.3
ADM02,SEMI PRIVATE ROOM,8000,10640,15108.8,23418.64,46837.28
ADM01,PRIVATE ROOM,10000,13300,18886,29273.3,58546.6
FEED02,SEMI PRIVATE ROOM FEEDING PER DAY,6000,7980,11331.6,17563.98,35127.96
FEED01,PRIVATE ROOM FEEDING PER DAY,7000,9310,13220.2,20491.31,40982.62
OPT168,OPTOMETRIST CONSULTATION,5000,6650,9443,14636.65,29273.3
CONS007,Dental Consultation,5000,6650,9443,14636.65,29273.3
CONS023,Gynaecology and Obstetrics Consultation,15000,19950,28329,43909.95,87819.9
CONS047,Paediatrician Consultation,15000,19950,28329,43909.95,87819.9
CONS039,Opthalmologist Consultion,15000,19950,28329,43909.95,87819.9
CONS003,Cardiologist Consultation,15000,19950,28329,43909.95,87819.9
CONS043,Orthopaedic Consultation,15000,19950,28329,43909.95,87819.9
INP0003,Professional Fee,12510.52,16638.9916,23627.368072,36622.4205116,73244.8410232
CONS027,Internal Medicine Physician Consultation,15000,19950,28329,43909.95,87819.9
CONS024,Gynaecology and Obstetrics Follow Up,7418.93,9867.1769,14011.391198,21717.6563569,43435.3127138
CONS015,Ent Specialist Consultation,15000,19950,28329,43909.95,87819.9
CONS019,General Surgeon Consultation,15000,19950,28329,43909.95,87819.9
CONS004,Cardiologist Follow Up,10147.31,13495.9223,19164.209666,29704.5249823,59409.0499646
CONS009,Dermatology Consultation,15000,19950,28329,43909.95,87819.9
CONS051,Physiotherapist Consultation,15000,19950,28329,43909.95,87819.9
CONS088,FAMILY MEDICINE PHYSICIAN CONSULTATION,15000,19950,28329,43909.95,87819.9
CONS044,Orthopaedic Follow Up,8645.15,11498.0495,16327.23029,25307.2069495,50614.413899
CONS048,Paediatrician Follow Up,8447.42,11235.0686,15953.797412,24728.3859886,49456.7719772
CONS063,Urologist Consultation,15000,19950,28329,43909.95,87819.9
CONS052,Physiotherapist Review,5730.18,7621.1394,10822.017948,16774.1278194,33548.2556388
CONS028,Internal Medicine Physician Review,10000,13300,18886,29273.3,58546.6
CONS035,Neurologist Consultation,15000,19950,28329,43909.95,87819.9
CONS013,Endocrinology Consultation,20000,26600,37772,58546.6,117093.2
CONS020,General Surgeon Follow Up,10000,13300,18886,29273.3,58546.6
CONS010,Dermatology Follow Up,9136.05,12150.9465,17254.34403,26744.2332465,53488.466493
CONS064,Urologist Review,15518.09,20639.0597,29307.464774,45426.5703997,90853.1407994
CONS017,Gastroenterology Consultation,15000,19950,28329,43909.95,87819.9
CONS016,Ent Specialst Follow Up,9489.16,12620.5828,17921.227576,27777.9027428,55555.8054856
NICU,NICU,27292.68,36299.2644,51544.955448,79894.6809444,159789.3618888
CONS036,Neurologist Follow Up,13442.14,17878.0462,25386.825604,39349.5796862,78699.1593724
CONS045,Paediatric Surgeon Consultation,15000,19950,28329,43909.95,87819.9
CONS011,Dietician Consultation,6396.55,8507.4115,12080.52433,18724.8127115,37449.625423
CONS014,Endocrinology Follow Up,13600.91,18089.2103,25686.678626,39814.3518703,79628.7037406
CONS033,Nephrology Consultation,15000,19950,28329,43909.95,87819.9
AMB01,Ambulance,54583.33,72595.8289,103086.077038,159783.4194089,319566.8388178
CONS089,FAMILY MEDICINE PHYSICIAN REVIEW,8203.13,10910.1629,15492.431318,24013.2685429,48026.5370858
CONS018,Gastroenterology Follow Up,14144.23,18811.8259,26712.792778,41404.8288059,82809.6576118
PCD903,Incubator Care,17833.33,23718.3289,33680.027038,52204.0419089,104408.0838178
ADM0006,Accommodation - Four Bedded room,4000,5320,7554.4,11709.32,23418.64
CONS025,Haematologist Consultation,15000,19950,28329,43909.95,87819.9
CON3948,Consultant Physician,15000,19950,28329,43909.95,87819.9
CONS056,Psychiatrist Review,9850,13100.5,18602.71,28834.2005,57668.401
CONS062,Rheumatology Follow Up,18001.82,23942.4206,33998.237252,52697.2677406,105394.5354812
CONS034,Nephrology Follow Up,12075.28,16060.1224,22805.373808,35348.3294024,70696.6588048
CONS055,Psychiatrist Consultation,15000,19950,28329,43909.95,87819.9
CONS068,"Rare Specialist Consultation (Neurosurgeon, Neurologist)",15000,19950,28329,43909.95,87819.9
CONS071,Subsequent Specialist Reviews,11913.64,15845.1412,22500.100504,34875.1557812,69750.3115624
Con2908,Family Medicine Physician followup,6800,9044,12842.48,19905.844,39811.688
CONS037,Neurosurgeon Consultation,15000,19950,28329,43909.95,87819.9
DRG4696,PHYSIOGEL,2016.75,2682.2775,3808.83405,5903.6927775,11807.385555
CONS059,Respiratory Physician / Pulmonologist Consultation,15000,19950,28329,43909.95,87819.9
CONS061,Rheumatology Consultation,15000,19950,28329,43909.95,87819.9
DIAG162,Nephrologist Consultation (First Session),15000,19950,28329,43909.95,87819.9
CONS053,Plastic Surgeon Consultation,15000,19950,28329,43909.95,87819.9
CONS006,Cardiothoracic Surgeon Consultation,15000,19950,28329,43909.95,87819.9
CONS026,Haematologist Follow Up,18666.67,24826.6711,35253.872962,54643.5030911,109287.0061822
CLI0148,Physical Examination,2000,2660,3777.2,5854.66,11709.32
INP0005,Professional Fee,9353.3,12439.889,17664.64238,27380.195689,54760.391378
CON123,PULMUNOLOGIST,44500,59185,84042.7,130266.185,260532.37
CONS031,Neonatologist Consultation,15000,19950,28329,43909.95,87819.9
CONS041,Orthodontist Consultation,15000,19950,28329,43909.95,87819.9
CONS012,Dietician Follow Up,3500,4655,6610.1,10245.655,20491.31
CONS083,EMERGENCY CONSULTATION,10000,13300,18886,29273.3,58546.6
CONS042,Orthodontist Follow Up,5833.33,7758.3289,11016.827038,17076.0819089,34152.1638178
ICU,ICU CARE/DAY,557950,742073.5,1053744.37,1633303.7735,3266607.547
CONS038,Neurosurgeon Follow Up,25000,33250,47215,73183.25,146366.5
CONS075,ONCOLOGY(1STVISIT),33750,44887.5,63740.25,98797.3875,197594.775
CONS046,Paediatric Surgeon Review,11100,14763,20963.46,32493.363,64986.726
ADM0007,Accommodation and Nursing- Daycase,1500,1995,2832.9,4390.995,8781.99
ADM00004,admission and investigations,4500,5985,8498.7,13172.985,26345.97
CONS001,Anaesthesiologist Consultation,15000,19950,28329,43909.95,87819.9
CONS002,Anaesthesiologist Review,7500,9975,14164.5,21954.975,43909.95
CONS005,Cardiothoracic Surgeon  Follow Up,45000,59850,84987,131729.85,263459.7
CONS030,Maxilloficial Surgeon Consultation,15000,19950,28329,43909.95,87819.9
ADM0003,Nursery Room/Accommodation,20000,26600,37772,58546.6,117093.2
CONS077,PAEDIATIC and DEVELOPMENTAL NEUROLOGY(FOLLOWUP),15000,19950,28329,43909.95,87819.9
CONS078,PAEDIATRIC and DEVELOPMENTAL NEUROLOGY(1STVISIT),50000,66500,94430,146366.5,292733
CONS054,Plastic Surgeon Review,25000,33250,47215,73183.25,146366.5
CONS060,Respiratory Physician / Pulmonologist Follow Up,12960,17236.8,24476.256,37938.1968,75876.3936
DIAG435,MALARIAL PARASITE THICK  AND THIN FILMS -  [BLOOD],1500,1995,2832.9,4390.995,8781.99
DIAG422,FBC/ CBC (FULL BLOOD COUNT) [BLOOD],4500,5985,8498.7,13172.985,26345.97
DIAG247,FASTING BLOOD SUGAR -[PLASMA],1500,1995,2832.9,4390.995,8781.99
DIAG380,URINALYSIS,1500,1995,2832.9,4390.995,8781.99
DIAG450,"WBC (LEUCOCYTE) : TOTAL AND ABSOLUTE DIFFERENTIAL COUNTS,  -  [BLOOD]",1500,1995,2832.9,4390.995,8781.99
DIAG441,PCV -PACKED CELL VOLUME (HAEMATOCRIT) -  [BLOOD],1500,1995,2832.9,4390.995,8781.99
DIAG763,URINE M/C/S,4500,5985,8498.7,13172.985,26345.97
OPT123,REFRACTION,1000,1330,1888.6,2927.33,5854.66
DIAG1688,PREGNANCY TEST -  [SERUM],1500,1995,2832.9,4390.995,8781.99
DIAG753,STOOL M/C/S,5000,6650,9443,14636.65,29273.3
DIAG1678,HELICOBACTER PYLORI (RAPID TEST) -  [SERUM],6000,7980,11331.6,17563.98,35127.96
DIAG307,EUCR,5000,6650,9443,14636.65,29273.3
DIAG275,"LIPID PROFILE = TOTAL CHOLESTEROL, HDL,LDL,VLDL, TRIGLYCERIDES",7500,9975,14164.5,21954.975,43909.95
DIAG723,HIGH VAGINAL SWAB (HVS) M/C/S,5000,6650,9443,14636.65,29273.3
DIAG1845,ABDOMINOPELVICS,7000,9310,13220.2,20491.31,40982.62
DIAG010,ECG (RESTING) ELECTROCARDIOGRAPHY,8000,10640,15108.8,23418.64,46837.28
DIAG1970,XRAY CHEST AP/LAT,7000,9310,13220.2,20491.31,40982.62
Pro0001,PELVIC SCAN,5000,6650,9443,14636.65,29273.3
DIAG421,ESR (AUTOMATED)   -  [BLOOD],2000,2660,3777.2,5854.66,11709.32
DIAG1682,HIV 1 AND 2 SCREENING (SERUM),3000,3990,5665.8,8781.99,17563.98
DIAG215,RANDOM BLOOD SUGAR,1500,1995,2832.9,4390.995,8781.99
PCD280,ANTENATAL CARE PACKAGE- ROUTINE INV AND 8 VISITS,50000,66500,94430,146366.5,292733
DIAG1843,SONO ABDOMEN SCAN,7000,9310,13220.2,20491.31,40982.62
DIAG1846,SONO ABDOMINOPELVICS,8000,10640,15108.8,23418.64,46837.28
DIAG259,HBA1C- GLYCATED HAEMOGLOBIN -  [BLOOD],7000,9310,13220.2,20491.31,40982.62
DIAG278,LIVER FUNCTION TESTS,8000,10640,15108.8,23418.64,46837.28
DIAG1675,"HBSAG, SCREENING -  [SERUM]",3000,3990,5665.8,8781.99,17563.98
DIAG750,SPUTUM M/C/S,5000,6650,9443,14636.65,29273.3
DIAG722,HELICOBACTER PYLORI -[STOOL],6000,7980,11331.6,17563.98,35127.96
DIAG2052,XRAY LUMBOSACRAL AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG236,CREATININE -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG773,GENOTYPE SCREENING,2000,2660,3777.2,5854.66,11709.32
DIAG1977,XRAY CHEST PA VIEW,6000,7980,11331.6,17563.98,35127.96
DIAG1655,ABO BLOOD GROUPING AND RHESUS TYPING/ BLOOD GROUP   -  [EDTA -BLOOD],2000,2660,3777.2,5854.66,11709.32
DIAG595,"PSA -PROSTATE SPECIFIC ANTIGEN, TOTAL -  [SERUM]",10000,13300,18886,29273.3,58546.6
DIAG246,"ELECTROLYTES = SODIUM, POTASSIUM, CHLORIDE [SERUM]",5000,6650,9443,14636.65,29273.3
DIAG760,THROAT SWAB FOR  M/C/S,5000,6650,9443,14636.65,29273.3
DIAG323,UREA -  [SERUM],2000,2660,3777.2,5854.66,11709.32
DIAG329,URIC ACID -  [SERUM],2000,2660,3777.2,5854.66,11709.32
DIAG1849,SONO BREAST SCAN,7000,9310,13220.2,20491.31,40982.62
DIAG517,PAP SMEARS PROCEDURE -  [PAP SMEAR],12000,15960,22663.2,35127.96,70255.92
DIAG1707,VDRL (RPR) -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG762,URETHRAL SWAB M/C/S,6000,7980,11331.6,17563.98,35127.96
DIAG598,THYROID FUNCTION TEST(T3  T4  TSH)- [SERUM],10000,13300,18886,29273.3,58546.6
DIAG1714,MAMMOGRAPHY,20000,26600,37772,58546.6,117093.2
DIAG686,BLOOD CULTURE (AEROBIC AND ANAEROBIC),7000,9310,13220.2,20491.31,40982.62
DIAG211,BILIRUBIN (TOTAL) -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG764,URINE MICROSCOPY (FOR  PARASITES),3000,3990,5665.8,8781.99,17563.98
DIAG228,CHOLESTEROL (TOTAL) -  [SERUM],2000,2660,3777.2,5854.66,11709.32
DIAG1865,SONO OBSTETRICS/PREG(1 TO 3 MONTHS),5000,6650,9443,14636.65,29273.3
DIAG1708,WIDAL TEST -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG706,"CULTURE, HELICOBACTER PYLORI - [ANY SAMPLE]",6000,7980,11331.6,17563.98,35127.96
DENT140,Glucose - Blood (Automated) FBS or RBS,2000,2660,3777.2,5854.66,11709.32
DIAG212,"BILIRUBIN (TOTAL, DIRECT, INDIRECT) -  [SERUM]",3000,3990,5665.8,8781.99,17563.98
DIAG013,ECHOCARDIOGRAPHY,20000,26600,37772,58546.6,117093.2
DIAG1879,SONO TRANSVAGINAL,6000,7980,11331.6,17563.98,35127.96
DIAG209,BILIRUBIN (DIRECT) -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG241,CRP- C-REACTIVE PROTEIN -  [SERUM],7000,9310,13220.2,20491.31,40982.62
DIAG1961,XRAY CERVICAL SPINE AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG425,HAEMOGLOBIN -  [BLOOD],2000,2660,3777.2,5854.66,11709.32
DIAG767,WOUND SWAB M/C/S,6000,7980,11331.6,17563.98,35127.96
DIAG2028,XRAY LEFT KNEE  AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1866,SONO OBSTETRICS/PREG(4 TO 9 MONTHS),7000,9310,13220.2,20491.31,40982.62
DIAG2102,XRAY RIGHT KNEE  AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1947,XRAY BOTH KNEE AP/LAT STANDING,6000,7980,11331.6,17563.98,35127.96
DIAG2046,XRAY LUMBAR SPINE AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG710,EAR SWAB M/C/S,6000,7980,11331.6,17563.98,35127.96
DIAG1864,SONO OBSTETRICS WITH BIOPHYSICAL PROFILE,7000,9310,13220.2,20491.31,40982.62
DIAG1867,SONO OBSTRICS 4D SCAN,7000,9310,13220.2,20491.31,40982.62
DIAG1517,PSA -PROSTATE SPECIFIC ANTIGEN -  [TISSUE],10000,13300,18886,29273.3,58546.6
DIAG1871,SONO PROSTRATE / TRUS,7000,9310,13220.2,20491.31,40982.62
DIAG1875,SONO TESTES /  SONO SROTUM / SCROTAL DOPPLER,7000,9310,13220.2,20491.31,40982.62
DIAG2112,XRAY RIGHT SHOULDER JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
PCD795,EAR SYRINGING -UNILATERAL,10000,13300,18886,29273.3,58546.6
DIAG1969,XRAY CHEST AP SUPINE VIEW,6000,7980,11331.6,17563.98,35127.96
BIO0016,BLOOD GROUP AND ANTIBODY,2000,2660,3777.2,5854.66,11709.32
DIAG745,SEMEN M/C/S,7000,9310,13220.2,20491.31,40982.62
DIAG2083,XRAY RIGHT ANKLE JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
PCD4089,CVF,8000,10640,15108.8,23418.64,46837.28
DIAG383,"URINE, ROUTINE EXAMINATION-  [URINE, SPOT]",2000,2660,3777.2,5854.66,11709.32
DIAG243,"ELECTROLYTES = SODIUM, POTASSIUM, CHLORIDE  [URINE, 24 HOURS]",5000,6650,9443,14636.65,29273.3
DIAG2010,XRAY LEFT ANKLE JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1852,SONO FOLLICULAR STUDY,7000,9310,13220.2,20491.31,40982.62
DIAG2051,XRAY LUMBOSACRAL AP,6000,7980,11331.6,17563.98,35127.96
BIO0023,CLOTTING PROFILE,5000,6650,9443,14636.65,29273.3
DIAG757,SWAB M/C/S,7000,9310,13220.2,20491.31,40982.62
DIAG382,URINE SUGAR (FASTING AND POST PRANDIAL),2000,2660,3777.2,5854.66,11709.32
DIAG2080,XRAY POST NASAL SPACE,6000,7980,11331.6,17563.98,35127.96
DIAG256,ORAL GLUCOSE TOLERANCE TEST,5000,6650,9443,14636.65,29273.3
DIAG1862,SONO NECK,7000,9310,13220.2,20491.31,40982.62
DIAG2016,XRAY LEFT FOOT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1934,XRAY BOTH ANKLE JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1954,XRAY BOTH SHOULDER JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2037,XRAY LEFT SHOULDER JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
BIO0034,SKIN SCRAPING,15000,19950,28329,43909.95,87819.9
DIAG2135,XRAY SKULL AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG319,TRIGLYCERIDES -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG1917,XRAY ABDOMEN (ERECT AND SUPINE VIEWS),6000,7980,11331.6,17563.98,35127.96
DIAG2089,XRAY RIGHT FOOT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG234,C-REACTIVE PROTEIN (ASPIRATE),7000,9310,13220.2,20491.31,40982.62
DIAG1847,SONO ANOMALY SCAN,7000,9310,13220.2,20491.31,40982.62
DIAG1998,"XRAY HIP AP, LATERAL AND OBLIQUE",6000,7980,11331.6,17563.98,35127.96
DIAG712,EYE SWAB M/C/S,5000,6650,9443,14636.65,29273.3
DIAG1949,XRAY BOTH KNEES (AP),6000,7980,11331.6,17563.98,35127.96
DIAG2061,XRAY NECK AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2163,XRAY THORACIC SPINE AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG756,SWAB FOR M/C/S (ANY SWAB),5000,6650,9443,14636.65,29273.3
DIAG2018,XRAY LEFT FOREARM AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2022,XRAY LEFT HAND AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2117,XRAY RIGHT WRIST JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1915,XRAY ABDOMEN,6000,7980,11331.6,17563.98,35127.96
DIAG1989,XRAY FOOT AP VIEW,6000,7980,11331.6,17563.98,35127.96
DIAG1859,SONO K.U.B KIDNEY URETER BLADDER (RENAL SCAN),7000,9310,13220.2,20491.31,40982.62
DIAG1876,SONO THYROID SCAN,7000,9310,13220.2,20491.31,40982.62
DIAG2095,XRAY RIGHT HAND -AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG188,ALBUMIN -  [SERUM],3000,3990,5665.8,8781.99,17563.98
DIAG1689,PREGNANCY TEST -  [URINE],2000,2660,3777.2,5854.66,11709.32
DIAG1860,SONO KUB AND PROSTATE,7000,9310,13220.2,20491.31,40982.62
DIAG2005,XRAY KNEE JOINT TUNNEL VIEW,6000,7980,11331.6,17563.98,35127.96
DIAG2025,XRAY LEFT HIP - AP / LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2043,XRAY LEFT WRIST JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2050,XRAY LUMBER SPINE LAT,6000,7980,11331.6,17563.98,35127.96
DIAG210,"BILIRUBIN (INDIRECT), SERUM -  [SERUM]",3000,3990,5665.8,8781.99,17563.98
DIAG755,"STOOL, ROUTINE EXAMINATION, (BASIC) -  [STOOL]",5000,6650,9443,14636.65,29273.3
DIAG1956,XRAY BOTH WRIST JOINT AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1987,XRAY FINGER AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1997,XRAY HIP AP,6000,7980,11331.6,17563.98,35127.96
DIAG2074,XRAY PELVIS AP/LAT,6000,7980,11331.6,17563.98,35127.96
DIAG2098,XRAY RIGHT HIP - AP / LAT,6000,7980,11331.6,17563.98,35127.96
DIAG1944,XRAY BOTH HIP JOINTS FROG VIEW,6000,7980,11331.6,17563.98,35127.96
DIAG1950,XRAY BOTH KNEES (LAT),6000,7980,11331.6,17563.98,35127.96
DIAG1993,XRAY HAND AP,6000,7980,11331.6,17563.98,35127.96
DIAG227,CHOLESTEROL (TOTAL) -  [BODY FLUID],3000,3990,5665.8,8781.99,17563.98
DIAG1858,SONO HSG,7000,9310,13220.2,20491.31,40982.62
DIAG1883,SONOGRAPHY SMALL PART,7000,9310,13220.2,20491.31,40982.62
DIAG331,URIC ACID - [URINE],2000,2660,3777.2,5854.66,11709.32
DIAG1959,XRAY CERVICAL SPINE - AP,6000,7980,11331.6,17563.98,35127.96
DIAG2008,XRAY LEFT  KNEE (LAT),6000,7980,11331.6,17563.98,35127.96
DIAG2015,XRAY LEFT FEMUR AP/LAT VIEW,6000,7980,11331.6,17563.98,35127.96
DIAG2088,XRAY RIGHT FEMUR AP/LAT VIEW,6000,7980,11331.6,17563.98,35127.96
MIN0001,WOUND DRESSING (MINOR),2000,2660,3777.2,5854.66,11709.32
DENT56,DENTAL SCALING AND POLISHING,8000,10640,15108.8,23418.64,46837.28
DNA001,CONSUMABLES (N/A),715.9,952.147,1352.04874,2095.675547,4191.351094
MAJ0002,WOUND DRESSING (MAJOR),5000,6650,9443,14636.65,29273.3
PCD798,NEBULISATION,5039.25,6702.2025,9517.12755,14751.5477025,29503.095405
PCD135,FINE NEEDLE ASPIRATION,950.62,1264.3246,1795.340932,2782.7784446,5565.5568892
PCD4254,PHYSIOTHERAPY SESSION,5643.32,7505.6156,10657.974152,16519.8599356,33039.7198712
REG,REGISTRATION,2696.12,3585.8396,5091.892232,7892.4329596,15784.8659192
DENT69,DENTAL XRAY (DIGITAL - RVG),6000,7980,11331.6,17563.98,35127.96
PCD307,CAESERAN SECTION,226904.13,301782.4929,428531.139918,664223.2668729,1328446.5337458
PCD274,Normal Delivery,58364.16,77624.3328,110226.552576,170851.1564928,341702.3129856
PCD240,CIRCUMCISION,9296.56,12364.4248,17557.483216,27214.0989848,54428.1979696
PCD794,EAR SYRINGING -BILATERAL,9373.6,12466.888,17702.98096,27439.620488,54879.240976
PHOT01,PHOTOTHERAPY (SINGLE) PER DAY,6558.26,8722.4858,12385.929836,19198.1912458,38396.3824916
PCD303,ERPC EVACUATION MVA,20000,26600,37772,58546.6,117093.2
PCD4334,SUTURING OF LACERATIONS,5000,6650,9443,14636.65,29273.3
PCD222,Prostate - Needle Biopsy  Neddle,593.42,789.2486,1120.733012,1737.1361686,3474.2723372
PCD273,EPISIOTOMY AND REPAIR,13908.34,18498.0922,26267.290924,40714.3009322,81428.6018644
PCD41,OPEN APPENDICECTOMY,150000,199500,283290,439099.5,878199
PCD130,"ABSCESS - SMALL, OR CELLULITIS REQUIRING INCISION AND DRAINAGE WITH LOCAL ANAESTHETIC",10000,13300,18886,29273.3,58546.6
PCD715,ANTERIOR COMPOSITE RESTORATION,10857.72,14440.7676,20505.889992,31784.1294876,63568.2589752
PCD792,EAR PIERCING,3446.19,4583.4327,6508.474434,10088.1353727,20176.2707454
SUR 119.00,SIMPLE EXTRACTION,10553.79,14036.5407,19931.887794,30894.4260807,61788.8521614
DIAG1902,OPG - ORTHOPANTOMOGRAM (FOR DENTAL PANORAMIC XRAY),6000,7980,11331.6,17563.98,35127.96
PCD241,CATHETERISATION,12012.45,15976.5585,22686.71307,35164.4052585,70328.810517
PCD272,Induction of Labour  Normal delivery,33767.5,44910.775,63773.3005,98848.615775,197697.23155
PCD4331,SURGICAL EXTRACTION,29782.61,39610.8713,56247.437246,87183.5277313,174367.0554626
PCD131,"ABSCESS - LARGE, OR EXTENSIVE CELLULITIS REQUIRING INCISION OR DRAINAGE",9999,13298.67,18884.1114,29270.37267,58540.74534
PCD4336,SUTURING OF LACERATIONS(MINOR),5000,6650,9443,14636.65,29273.3
SUR 164.00,INCISION AND DRAINAGE,20426.19,27166.8327,38576.902434,59794.1987727,119588.3975454
DIAG456,BIOPSY- SMALL SPECIMEN FOR HISTOLOGY -  [TISSUE],19304.11,25674.4663,36457.742146,56509.5003263,113019.0006526
PCD137,EXCISION OF GANGLION,83802.74,111457.6442,158269.854764,245318.2748842,490636.5497684
PCD299,INSERTION OF IUCD,9402.63,12505.4979,17757.807018,27524.6008779,55049.2017558
PCD508,DEEP LACERATION SUTURE,26016.29,34601.6657,49134.365294,76158.2662057,152316.5324114
PCD70,EXPLORATORY LAPAROTOMY,273600,363888,516720.96,800917.488,1601834.976
PCD4032,"ASSISTED DELIVERY (FORCEPS,VACUUM ETC): BUNDLED PRICE",60000,79800,113316,175639.8,351279.6
PCD300,REMOVAL OF INTRAUTERINE DEVICE IUCD,8263.38,10990.2954,15606.219468,24189.6401754,48379.2803508
PCD725,FLUORIDATION -PER JAW,2564.78,3411.1574,4843.843508,7507.9574374,15015.9148748
PCD172,"FOREIGN BODY REMOVAL-EAR, NOSE, THROAT",18852.26,25073.5058,35604.378236,55186.7862658,110373.5725316
PCD258,CERVICAL LACERATION REPAIR,27614.07,36726.7131,52151.932602,80835.4955331,161670.9910662
PCD4129,EXCISIONAL BIOPSY(WITH HISTOLOGY),119470.89,158896.2837,225632.722854,349730.7204237,699461.4408474
PCD4335,SUTURING OF LACERATIONS(MAJOR),17481.35,23250.1955,33015.27761,51173.6802955,102347.360591
PCD90,Gastroscopy,76363.64,101563.6412,144220.370504,223541.5742812,447083.1485624
PCD285,ABDOMINAL MYOMECTOMY - ABOVE 28  WEEKS,150000,199500,283290,439099.5,878199
PCD4408,APPENDICECTOMY COMPLICATED RUPTURED,150000,199500,283290,439099.5,878199
PCD4401,BILATERAL AURAL PACKING,12000,15960,22663.2,35127.96,70255.92
PCD126,BILATERAL HERNIA - INGUINAL REPAIR,187500,249375,354112.5,548874.375,1097748.75
PCD304,CERVICAL CERCLEAGE,107291.67,142697.9211,202631.047962,314078.1243411,628156.2486822
PCD763,Fine Needle Aspiration (Other Than Breast) Under Ultrasound,67.5,89.775,127.4805,197.594775,395.18955
PCD447,PLASTER OF PARIS LONG ARM,71428.57,94999.9981,134899.997302,209094.9958181,418189.9916362
MED0531,Steroid injection,50000,66500,94430,146366.5,292733
PCD44,Hartmann’s procedure,2306.67,3067.8711,4356.376962,6752.3842911,13504.7685822
SUR 126.00,HERNIORRHAPHY - OBSTRUCTED,150000,199500,283290,439099.5,878199
PCD244,MARSUPIALISATION,62048.17,82524.0661,117184.173862,181635.4694861,363270.9389722
PHOT02,PHOTOTHERAPY (DOUBLE) PER DAY,6711.71,8926.5743,12675.735506,19647.3900343,39294.7800686
PCD284,ABDOMINAL MYOMECTOMY - BELOW 28 WEEKS,150001,199501.33,283291.8886,439102.42733,878204.85466
PCD134,BURNS WOUND DEBRIDEMENT AND DRESSING,40086,53314.38,75706.4196,117344.95038,234689.90076
PCD88,Colonoscopy,88414.06,117590.6998,166978.793716,258817.1302598,517634.2605196
PCD133,DEBRIDEMENT OF INFECTED WOUND AREA AND CLOSURE,41593.75,55319.6875,78553.95625,121758.6321875,243517.264375
PCD4355,TONGUE TIE RELEASE,6425,8545.25,12134.255,18808.09525,37616.1905
DIAG455,BIOPSY- MEDIUM SPECIMEN  FOR HISTOLOGY -  [TISSUE],13656.86,18163.6238,25792.345796,39978.1359838,79956.2719676
DRG1624,COPPER T (IUCD),9271.43,12331.0019,17510.022698,27140.5351819,54281.0703638
PCD121,REPAIR OF UMBILICAL HERNIA,274166.67,364641.6711,517791.172962,802576.3180911,1605152.6361822
PCD170,ADENOTONSILLECTOMY,200000,266000,377720,585466,1170932
PCD688,CYST - SOFT TISSUE - EXCISION,68283.22,90816.6826,128959.689292,199887.5184026,399775.0368052
Pro0005,EAR DRESSING,2890.67,3844.5911,5459.319362,8461.9450111,16923.8900222
PCD301,IMPLANON INSERTION,13834.67,18400.1111,26128.157762,40498.6445311,80997.2890622
PCD387,INGROWN TOENAIL - RADICAL EXCISION / WEDGE RESECTION - UNILATERAL,36679.67,48783.9611,69273.224762,107373.4983811,214746.9967622
PCD46,LAPAROSCOPIC APPENDICECTOMY,205606,273455.98,388307.4916,601876.61198,1203753.22396
