sales reps,Customer,address,Territory Description,Channel Description,Location
ALIU ABDULFATAI ORELOPE,65 BATTALION MRS,VICTORIA ISLAND,LAGOS ISLAND/OBALENDE/IKOYI/VI/IKATE CHEVRON,Institution,"6.4350867, 3.4077812"
ALIU ABDULFATAI ORELOPE,81 DIVISION HOSPITAL,IKOYI,LAGOS ISLAND/OBALENDE/IKOYI/VI/IKATE CHEVRON,Institution,"6.4491375, 3.4130886"
